ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,DIST_LOC,CABECERA_DISTRITAL_LOC,NUMERO_ARE,SECCION,CASILLA,LISTA_NOMINAL_CASILLA,ID_CAE,CVE_AUT
15,MEXICO,12,IXTAPALUCA,1,CHALCO,30,937,Contigua 3,689,CAE12030,9903
15,MEXICO,12,IXTAPALUCA,1,CHALCO,30,937,Contigua 4,689,CAE12030,9903
15,MEXICO,12,IXTAPALUCA,1,CHALCO,39,987,Contigua 2,671,CAE12039,2080
15,MEXICO,12,IXTAPALUCA,1,CHALCO,32,991,Contigua 1,655,CAE12032,1795
15,MEXICO,12,IXTAPALUCA,1,CHALCO,33,992,Contigua 2,733,CAE12033,9738
15,MEXICO,12,IXTAPALUCA,1,CHALCO,42,995,Contigua 1,732,CAE12042,7629
15,MEXICO,12,IXTAPALUCA,1,CHALCO,35,1044,Contigua 4,729,CAE12035,8195
15,MEXICO,12,IXTAPALUCA,1,CHALCO,34,1049,Contigua 3,665,CAE12034,7683
15,MEXICO,33,CHALCO,1,CHALCO,54,648,Contigua 2,658,CAE33054,1323
15,MEXICO,33,CHALCO,1,CHALCO,55,649,Contigua 2,629,CAE33055,3207
15,MEXICO,33,CHALCO,1,CHALCO,55,650,Contigua 1,704,CAE33055,3207
15,MEXICO,33,CHALCO,1,CHALCO,53,652,Contigua 1,622,CAE33053,1791
15,MEXICO,33,CHALCO,1,CHALCO,53,652,Contigua 2,622,CAE33053,1791
15,MEXICO,33,CHALCO,1,CHALCO,53,653,Contigua 1,561,CAE33053,1791
15,MEXICO,33,CHALCO,1,CHALCO,74,1017,Contigua 2,680,CAE33074,3600
15,MEXICO,33,CHALCO,1,CHALCO,74,1018,Bÿsica,728,CAE33074,3600
15,MEXICO,33,CHALCO,1,CHALCO,76,1020,Bÿsica,637,CAE33076,3928
15,MEXICO,33,CHALCO,1,CHALCO,82,1035,Bÿsica,590,CAE33082,9084
15,MEXICO,33,CHALCO,1,CHALCO,82,1035,Contigua 1,590,CAE33082,9084
15,MEXICO,33,CHALCO,1,CHALCO,82,1035,Contigua 2,590,CAE33082,9084
15,MEXICO,33,CHALCO,1,CHALCO,82,1035,Contigua 3,589,CAE33082,9084
15,MEXICO,33,CHALCO,1,CHALCO,82,1038,Contigua 1,669,CAE33082,9084
15,MEXICO,33,CHALCO,1,CHALCO,86,1043,Contigua 3,745,CAE33086,6203
15,MEXICO,33,CHALCO,1,CHALCO,87,1043,Contigua 11,745,CAE33087,8432
15,MEXICO,33,CHALCO,1,CHALCO,63,1052,Contigua 1,711,CAE33063,9962
15,MEXICO,33,CHALCO,1,CHALCO,63,1052,Contigua 5,711,CAE33063,9962
15,MEXICO,33,CHALCO,1,CHALCO,64,1052,Contigua 12,710,CAE33064,1334
15,MEXICO,33,CHALCO,1,CHALCO,70,1053,Contigua 3,583,CAE33070,7485
15,MEXICO,33,CHALCO,1,CHALCO,71,1054,Contigua 1,710,CAE33071,6854
15,MEXICO,33,CHALCO,1,CHALCO,72,1054,Contigua 9,709,CAE33072,7656
15,MEXICO,33,CHALCO,1,CHALCO,73,1054,Contigua 15,709,CAE33073,5776
15,MEXICO,33,CHALCO,1,CHALCO,59,1065,Contigua 7,712,CAE33059,3660
15,MEXICO,33,CHALCO,1,CHALCO,91,1071,Contigua 2,610,CAE33091,4759
15,MEXICO,33,CHALCO,1,CHALCO,92,1072,Contigua 3,719,CAE33092,9924
15,MEXICO,33,CHALCO,1,CHALCO,99,1074,Contigua 1,635,CAE33099,6508
15,MEXICO,33,CHALCO,1,CHALCO,52,4328,Bÿsica,613,CAE33052,3556
15,MEXICO,26,TOLUCA,2,TOLUCA,55,5176,Contigua 2,622,CAE26055,3508
15,MEXICO,26,TOLUCA,2,TOLUCA,57,5178,Contigua 2,738,CAE26057,2114
15,MEXICO,26,TOLUCA,2,TOLUCA,58,5202,Bÿsica,717,CAE26058,2100
15,MEXICO,26,TOLUCA,2,TOLUCA,50,5270,Bÿsica,620,CAE26050,8801
15,MEXICO,26,TOLUCA,2,TOLUCA,52,5271,Contigua 8,682,CAE26052,8344
15,MEXICO,26,TOLUCA,2,TOLUCA,45,5278,Contigua 4,626,CAE26045,8875
15,MEXICO,26,TOLUCA,2,TOLUCA,67,5280,Contigua 7,710,CAE26067,7745
15,MEXICO,26,TOLUCA,2,TOLUCA,45,5282,Contigua 1,579,CAE26045,8875
15,MEXICO,26,TOLUCA,2,TOLUCA,63,5289,Contigua 2,564,CAE26063,9217
15,MEXICO,26,TOLUCA,2,TOLUCA,62,5291,Bÿsica,724,CAE26062,2678
15,MEXICO,26,TOLUCA,2,TOLUCA,74,5296,Bÿsica,678,CAE26074,7454
15,MEXICO,26,TOLUCA,2,TOLUCA,61,5299,Contigua 1,577,CAE26061,6192
15,MEXICO,26,TOLUCA,2,TOLUCA,79,5309,Contigua 4,729,CAE26079,3884
15,MEXICO,26,TOLUCA,2,TOLUCA,81,5310,Contigua 2,699,CAE26081,9639
15,MEXICO,26,TOLUCA,2,TOLUCA,78,5324,Bÿsica,725,CAE26078,5254
15,MEXICO,26,TOLUCA,2,TOLUCA,21,5386,Contigua 2,689,CAE26021,7508
