ID_DISTRITO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,ID_MUNICIPIO,MUNICIPIO,DIST_LOC,LISTA_NOMINAL,PAN,PRI,PRD,PT,PVEM,PNA,MORENA,ES,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_NA_ES,PRI_PVEM,PRI_NA,PRI_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,TERESA_CASTELL,NO_REGISTRADOS,NULOS,TOTAL_VOTOS,FECHA,HORA_LLAMADA,HORA_CAPTURA,ORIGEN_CAPTURA,CAE,CLAVE_AUT
5,3898,C,1,0,2,66,"OTUMBA",39,723,41,197,42,5,0,1,127,4,1,0,0,0,1,1,0,0,0,0,0,5,0,8,433,2017-06-04,21:07:33.155,21:10:10.544,cap-16,5-52,6436
5,1147,C,2,0,1,31,"CHICONCUAC",23,666,17,85,28,2,8,0,192,1,0,0,0,0,0,0,0,0,0,0,0,10,0,9,352,2017-06-04,21:07:44.851,21:10:09.910,cap-4,5-49,4774
9,3910,C,4,0,1,68,"OTZOLOTEPEC",45,686,22,133,60,5,4,2,75,0,0,1,0,0,2,1,0,0,1,0,0,8,1,16,331,2017-06-04,21:07:35.872,21:10:07.145,cap-68,9-39,2028
2,4584,C,1,0,2,96,"TEPOTZOTLAN",12,668,43,98,36,4,3,3,183,5,1,2,1,0,3,0,0,0,0,0,0,11,0,4,397,2017-06-04,21:06:47.207,21:09:56.874,cap-104,2-68,2369
14,283,B,1,0,1,13,"ATIZAPAN DE ZARAGOZA",29,668,53,64,25,3,32,0,99,1,2,0,0,1,6,0,0,0,0,0,0,12,0,13,311,2017-06-04,21:06:29.000,21:09:48.094,cap-74,14-66,7226
30,3059,C,1,0,1,60,"NEZAHUALCOYOTL",41,508,8,40,156,0,4,2,48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,266,2017-06-04,21:06:52.100,21:09:45.329,cap-114,30-1,2869
15,385,B,1,0,1,13,"ATIZAPAN DE ZARAGOZA",16,576,90,59,33,2,1,2,121,1,0,0,0,0,0,0,0,0,0,0,0,20,0,11,340,2017-06-04,21:06:44.764,21:09:44.712,cap-103,15-57,2460
40,4472,C,1,0,2,91,"TENANGO DEL VALLE",7,690,42,98,81,25,2,3,86,2,1,1,0,0,0,0,1,0,0,0,0,10,0,9,361,2017-06-04,21:06:59.769,21:09:38.540,cap-116,40-12,4560
2,4590,C,3,0,1,97,"TEQUIXQUIAC",20,610,22,109,22,1,0,0,151,4,0,1,0,0,3,1,0,0,0,0,0,4,0,17,335,2017-06-04,21:05:44.448,21:09:37.190,cap-95,2-73,5236
22,2903,B,1,0,1,58,"NAUCALPAN DE JUAREZ",32,636,40,137,18,0,0,2,78,0,0,1,0,0,0,0,1,0,0,0,0,5,0,15,297,2017-06-04,21:06:37.583,21:09:13.041,cap-105,22-34,5020
40,4479,C,2,0,1,91,"TENANGO DEL VALLE",7,627,47,101,68,15,3,0,115,2,3,0,0,0,1,0,0,0,0,0,0,9,0,13,377,2017-06-04,21:05:46.536,21:09:08.518,cap-101,40-18,6765
39,6368,C,1,0,1,30,"CHICOLOAPAN",5,681,25,109,60,2,11,2,103,1,0,0,0,0,3,0,0,0,0,0,0,10,0,11,337,2017-06-04,21:07:29.090,21:09:08.276,cap-21,39-80,8263
